Fecha,Hora,Coincidencias
050718,214611,2180625
050718,214711,2180881
050718,214811,2181137
050718,214911,2181393
050718,215012,2183186
050718,215112,2183442
050718,215212,2183698
050718,215312,2183954
050718,215412,2184210
050718,215512,2184466
050718,215613,2184723
050718,215713,2184979
050718,215813,2185235
050718,215913,2185491
050718,220013,2228243
050718,220113,2228499
050718,220214,2228756
050718,220314,2229012
050718,220414,2229268
050718,220514,2229524
050718,220614,2229780
050718,220715,2230037
050718,220815,2230293
050718,220915,2230549
050718,221015,2232341
050718,221115,2232597
050718,221215,2232853
050718,221316,2233110
050718,221416,2233366
050718,221516,2233622
050718,221616,2233878
050718,221716,2234134
050718,221816,2234390
050718,221917,2234647
050718,222017,2236439
050718,222117,2236695
050718,222217,2236951
050718,222317,2237207
050718,222417,2237463
050718,222518,2237720
050718,222618,2237976
050718,222718,2238232
050718,222818,2238488
050718,222918,2238744
050718,223019,2240537
050718,223119,2240793
050718,223219,2241049
050718,223319,2241305
050718,223419,2241561
050718,223519,2241817
050718,223620,2242080
050718,223720,2242336
050718,223820,2242592
050718,223920,2242848
050718,224020,2244640
050718,224120,2244896
050718,224221,2245153
050718,224321,2245409
050718,224421,2245665
050718,224521,2245921
050718,224621,2246177
050718,224721,2246433
050718,224822,2246690
050718,224922,2246946
050718,225022,2248738
050718,225122,2248994
050718,225222,2249250
050718,225323,2249507
050718,225423,2249763
050718,225523,2250019
050718,225623,2250275
050718,225723,2250531
050718,225823,2250787
050718,225924,2251044
050718,230024,2293796
050718,230124,2294052
050718,230224,2294308
050718,230324,2294564
050718,230424,2294820
050718,230525,2295077
050718,230625,2295333
050718,230725,2295589
050718,230825,2295845
050718,230925,2296101
050718,231025,2297893
050718,231126,2298150
050718,231226,2298406
050718,231326,2298662
050718,231426,2298918
050718,231526,2299174
050718,231627,2299431
050718,231727,2299687
050718,231827,2299943
050718,231927,2300199
050718,232027,2301991
050718,232127,2302247
050718,232228,2302504
050718,232328,2302760
050718,232428,2303016
050718,232528,2303272
050718,232628,2303528
050718,232728,2303784
050718,232829,2304041
050718,232929,2304297
050718,233029,2306089
050718,233129,2306345
050718,233229,2306601
050718,233329,2306857
050718,233430,2307120
050718,233530,2307376
050718,233630,2307632
050718,233730,2307888
050718,233830,2308144
050718,233931,2308401
050718,234031,2310193
050718,234131,2310449
050718,234231,2310705
050718,234331,2310961
050718,234431,2311217
050718,234532,2311474
050718,234632,2311730
050718,234732,2311986
050718,234832,2312242
050718,234932,2312498
050718,235032,2314290
050718,235133,2314547
050718,235233,2314803
050718,235333,2315059
050718,235433,2315315
050718,235533,2315571
050718,235633,2315827
050718,235734,2316084
050718,235834,2316340
050718,235934,2316596
060718,000034,52
060718,000134,308
060718,000235,565
060718,000335,821
060718,000435,1077
060718,000535,1333
060718,000635,1589
060718,000735,1845
060718,000836,2102
060718,000936,2358
060718,001036,4150
060718,001136,4406
060718,001236,4662
060718,001336,4918
060718,001437,5175
060718,001537,5431
060718,001637,5687
060718,001737,5943
060718,001837,6199
060718,001937,6455
060718,002038,8248
060718,002138,8504
060718,002238,8760
060718,002338,9016
060718,002438,9272
060718,002539,9529
060718,002639,9785
060718,002739,10041
060718,002839,10297
060718,002939,10553
060718,003039,12345
060718,003140,12608
060718,003240,12864
060718,003340,13120
060718,003440,13376
060718,003540,13632
060718,003640,13888
060718,003741,14145
060718,003841,14401
060718,003941,14657
060718,004041,16449
060718,004141,16705
060718,004241,16961
060718,004342,17218
060718,004442,17474
060718,004542,17730
060718,004642,17986
060718,004742,18242
060718,004843,18499
060718,004943,18755
060718,005043,20547
060718,005143,20803
060718,005243,21059
060718,005343,21315
060718,005444,21572
060718,005544,21828
060718,005644,22084
060718,005744,22340
060718,005844,22596
060718,005944,22852
060718,010045,65605
060718,010145,65861
060718,010245,66117
060718,010345,66373
060718,010445,66629
060718,010545,66885
060718,010646,67142
060718,010746,67398
060718,010846,67654
060718,010946,67910
060718,011046,69702
060718,011147,69959
060718,011247,70215
060718,011347,70471
060718,011447,70727
060718,011547,70983
060718,011647,71239
060718,011748,71496
060718,011848,71752
060718,011948,72008
060718,012048,73800
060718,012148,74056
060718,012248,74312
060718,012349,74569
060718,012449,74825
060718,012549,75081
060718,012649,75337
060718,012749,75593
060718,012849,75849
060718,012950,76112
060718,013050,77904
060718,013150,78160
060718,013250,78416
060718,013350,78672
060718,013451,78929
060718,013551,79185
060718,013651,79441
060718,013751,79697
060718,013851,79953
060718,013951,80209
060718,014052,82002
060718,014152,82258
060718,014252,82514
060718,014352,82770
060718,014452,83026
060718,014552,83282
060718,014653,83539
060718,014753,83795
060718,014853,84051
060718,014953,84307
060718,015053,86099
060718,015153,86355
060718,015254,86612
060718,015354,86868
060718,015454,87124
060718,015554,87380
060718,015654,87636
060718,015755,87893
060718,015855,88149
060718,015955,88405
060718,020055,131157
060718,020155,131413
060718,020255,131669
060718,020356,131926
060718,020456,132182
060718,020556,132438
060718,020656,132694
060718,020756,132950
060718,020856,133206
060718,020957,133463
060718,021057,135255
060718,021157,135511
060718,021257,135767
060718,021357,136023
060718,021457,136279
060718,021558,136536
060718,021658,136792
060718,021758,137048
060718,021858,137304
060718,021958,137560
060718,022058,139352
060718,022159,139609
060718,022259,139865
060718,022359,140121
060718,022459,140377
060718,022559,140633
060718,022700,141056
060718,022800,141312
060718,022900,141568
060718,023000,143360
060718,023100,143616
060718,023200,143872
060718,023301,144129
060718,023401,144385
060718,023501,144641
060718,023601,144897
060718,023701,145153
060718,023801,145409
060718,023902,145666
060718,024002,147458
060718,024102,147714
060718,024202,147970
060718,024302,148226
060718,024402,148482
060718,024503,148739
060718,024603,148995
060718,024703,149251
060718,024803,149507
060718,024903,149763
060718,025004,151556
060718,025104,151812
060718,025204,152068
060718,025304,152324
060718,025404,152580
060718,025504,152836
060718,025605,153093
060718,025705,153349
060718,025805,153605
060718,025905,153861
060718,030005,196613
060718,030105,196869
060718,030206,197126
060718,030306,197382
060718,030406,197638
060718,030506,197894
060718,030606,198150
060718,030706,198406
060718,030807,198663
060718,030907,198919
060718,031007,200711
060718,031107,200967
060718,031207,201223
060718,031308,201480
060718,031408,201736
060718,031508,201992
060718,031608,202248
060718,031708,202504
060718,031808,202760
060718,031909,203017
060718,032009,204809
060718,032109,205065
060718,032209,205321
060718,032309,205577
060718,032409,205833
060718,032510,206096
060718,032610,206352
060718,032710,206608
060718,032810,206864
060718,032910,207120
060718,033010,208912
060718,033111,209169
060718,033211,209425
060718,033311,209681
060718,033411,209937
060718,033511,210193
060718,033612,210450
060718,033712,210706
060718,033812,210962
060718,033912,211218
060718,034012,213010
060718,034112,213266
060718,034213,213523
060718,034313,213779
060718,034413,214035
060718,034513,214291
060718,034613,214547
060718,034713,214803
060718,034814,215060
060718,034914,215316
060718,035014,217108
060718,035114,217364
060718,035214,217620
060718,035314,217876
060718,035415,218133
060718,035515,218389
060718,035615,218645
060718,035715,218901
060718,035815,219157
060718,035916,219414
060718,040016,262166
060718,040116,262422
060718,040216,262678
060718,040316,262934
060718,040416,263190
060718,040517,263447
060718,040617,263703
060718,040717,263959
060718,040817,264215
060718,040917,264471
060718,041017,266263
060718,041118,266520
060718,041218,266776
060718,041318,267032
060718,041418,267288
060718,041518,267544
060718,041618,267800
060718,041719,268057
060718,041819,268313
060718,041919,268569
060718,042019,270361
060718,042119,270617
060718,042220,270880
060718,042320,271136
060718,042420,271392
060718,042520,271648
060718,042620,271904
060718,042720,272160
060718,042821,272417
060718,042921,272673
060718,043021,274465
060718,043121,274721
060718,043221,274977
060718,043321,275233
060718,043422,275490
060718,043522,275746
060718,043622,276002
060718,043722,276258
060718,043822,276514
060718,043922,276770
060718,044023,278563
060718,044123,278819
060718,044223,279075
060718,044323,279331
060718,044423,279587
060718,044524,279844
060718,044624,280100
060718,044724,280356
060718,044824,280612
060718,044924,280868
060718,045024,282660
060718,045125,282917
060718,045225,283173
060718,045325,283429
060718,045425,283685
060718,045525,283941
060718,045625,284197
060718,045726,284454
060718,045826,284710
060718,045926,284966
060718,050026,327718
060718,050126,327974
060718,050226,328230
060718,050327,328487
060718,050427,328743
060718,050527,328999
060718,050627,329255
060718,050727,329511
060718,050828,329768
060718,050928,330024
060718,051028,331816
060718,051128,332072
060718,051228,332328
060718,051328,332584
060718,051429,332841
060718,051529,333097
060718,051629,333353
060718,051729,333609
060718,051829,333865
060718,051929,334121
060718,052030,335920
060718,052130,336176
060718,052230,336432
060718,052330,336688
060718,052430,336944
060718,052530,337200
060718,052631,337457
060718,052731,337713
060718,052831,337969
060718,052931,338225
060718,053031,340017
060718,053132,340274
060718,053232,340530
060718,053332,340786
060718,053432,341042
060718,053532,341298
060718,053632,341554
060718,053733,341811
060718,053833,342067
060718,053933,342323
060718,054033,344115
060718,054133,344371
060718,054233,344627
060718,054334,344884
060718,054434,345140
060718,054534,345396
060718,054634,345652
060718,054734,345908
060718,054834,346164
060718,054935,346421
060718,055035,348213
060718,055135,348469
060718,055235,348725
060718,055335,348981
060718,055436,349238
060718,055536,349494
060718,055636,349750
060718,055736,350006
060718,055836,350262
060718,055936,350518
060718,060037,393271
060718,060137,393527
060718,060237,393783
060718,060337,394039
060718,060437,394295
060718,060537,394551
060718,060638,394808
060718,060738,395064
060718,060838,395320
060718,060938,395576
060718,061038,397368
060718,061138,397624
060718,061239,397881
060718,061339,398137
060718,061439,398393
060718,061539,398649
060718,061639,398905
060718,061740,399168
060718,061840,399424
060718,061940,399680
060718,062040,401472
060718,062140,401728
060718,062240,401984
060718,062341,402241
060718,062441,402497
060718,062541,402753
060718,062641,403009
060718,062741,403265
060718,062841,403521
060718,062942,403778
060718,063042,405570
060718,063142,405826
060718,063242,406082
060718,063342,406338
060718,063442,406594
060718,192456,1647702
060718,192556,1647958
060718,192656,1648214
060718,192756,1648470
060718,192857,1648727
060718,192957,1648983
060718,193057,1650775
060718,193157,1651031
060718,193257,1651287
060718,193357,1651543
060718,193458,1651800
060718,193558,1652056
060718,193658,1652312
060718,193758,1652568
060718,193858,1652824
060718,193959,1653081
060718,194059,1654873
060718,194159,1655129
060718,194259,1655385
060718,194359,1655641
060718,194459,1655897
060718,194600,1656320
060718,194700,1656576
060718,194800,1656832
060718,194900,1657088
060718,195000,1658880
060718,195100,1659136
060718,195201,1659393
060718,195301,1659649
060718,195401,1659905
060718,195501,1660161
060718,195601,1660417
060718,195701,1660673
060718,195802,1660930
060718,195902,1661186
060718,200002,2097154
060718,200102,2097410
060718,200202,2097666
060718,200303,2097923
060718,200403,2098179
060718,200503,2098435
060718,200603,2098691
060718,200703,2098947
060718,200803,2099203
060718,200904,2099460
060718,201004,2101252
060718,201104,2101508
060718,201204,2101764
060718,201304,2102020
060718,201404,2102276
060718,201505,2102533
060718,201605,2102789
060718,201705,2103045
060718,201805,2103301
060718,201905,2103557
060718,202005,2105349
060718,202106,2105606
060718,202206,2105862
060718,202306,2106118
060718,202406,2106374
060718,202506,2106630
060718,202607,2106887
060718,202707,2107143
060718,202807,2107399
060718,202907,2107655
060718,203007,2109447
060718,203107,2109703
060718,203208,2109960
060718,203308,2110216
060718,203408,2110472
060718,203508,2110728
060718,203608,2110984
060718,203708,2111240
060718,203809,2111497
060718,203909,2111753
060718,204009,2113545
060718,204109,2113801
060718,204209,2114057
060718,204309,2114313
060718,204410,2114576
060718,204510,2114832
060718,204610,2115088
060718,204710,2115344
060718,204810,2115600
060718,204911,2115857
060718,205011,2117649
060718,205111,2117905
060718,205211,2118161
060718,205311,2118417
060718,205411,2118673
060718,205512,2118930
060718,205612,2119186
060718,205712,2119442
060718,205812,2119698
060718,205912,2119954
060718,210012,2162706
060718,210113,2162963
060718,210213,2163219
060718,210313,2163475
060718,210413,2163731
060718,210513,2163987
060718,210613,2164243
060718,210714,2164500
060718,210814,2164756
060718,210914,2165012
060718,211014,2166804
060718,211114,2167060
060718,211215,2167317
060718,211315,2167573
060718,211415,2167829
060718,211515,2168085
060718,211615,2168341
060718,211715,2168597
060718,211816,2168854
060718,211916,2169110
060718,212016,2170902
060718,212116,2171158
060718,212216,2171414
060718,212316,2171670
060718,212417,2171927
060718,212517,2172183
060718,212617,2172439
060718,212717,2172695
060718,212817,2172951
060718,212917,2173207
060718,213018,2175000
060718,213118,2175256
060718,213218,2175512
060718,213318,2175768
060718,213418,2176024
060718,213519,2176281
060718,213619,2176537
060718,213719,2176793
060718,213819,2177049
060718,213919,2177305
060718,214019,2179097
060718,214120,2179360
060718,214220,2179616
060718,214320,2179872
060718,214420,2180128
060718,214520,2180384
060718,214620,2180640
060718,214721,2180897
060718,214821,2181153
060718,214921,2181409
060718,215021,2183201
060718,215121,2183457
060718,215221,2183713
060718,215322,2183970
060718,215422,2184226
060718,215522,2184482
060718,215622,2184738
060718,215722,2184994
060718,215823,2185251
060718,215923,2185507
060718,220023,2228259
060718,220123,2228515
060718,220223,2228771
060718,220323,2229027
060718,220424,2229284
060718,220524,2229540
060718,220624,2229796
060718,220724,2230052
060718,220824,2230308
060718,220924,2230564
060718,221025,2232357
060718,221125,2232613
060718,221225,2232869
060718,221325,2233125
060718,221425,2233381
060718,221525,2233637
060718,221626,2233894
060718,221726,2234150
060718,221826,2234406
060718,221926,2234662
060718,222026,2236454
060718,222127,2236711
060718,222227,2236967
060718,222327,2237223
060718,222427,2237479
060718,222527,2237735
060718,222627,2237991
060718,222728,2238248
060718,222828,2238504
060718,222928,2238760
060718,223028,2240552
060718,223128,2240808
060718,223228,2241064
060718,223329,2241321
060718,223429,2241577
060718,223529,2241833
060718,223629,2242089
060718,223729,2242345
060718,223829,2242601
060718,223930,2242864
060718,224030,2244656
060718,224130,2244912
060718,224230,2245168
060718,224330,2245424
060718,224431,2245681
060718,224531,2245937
060718,224631,2246193
060718,224731,2246449
060718,224831,2246705
060718,224931,2246961
060718,225032,2248754
060718,225132,2249010
060718,225232,2249266
060718,225332,2249522
060718,225432,2249778
060718,225532,2250034
060718,225633,2250291
060718,225733,2250547
060718,225833,2250803
060718,225933,2251059
060718,230033,2293811
060718,230133,2294067
060718,230234,2294324
060718,230334,2294580
060718,230434,2294836
060718,230534,2295092
060718,230634,2295348
060718,230735,2295605
060718,230835,2295861
060718,230935,2296117
060718,231035,2297909
060718,231135,2298165
060718,231235,2298421
060718,231336,2298678
060718,231436,2298934
060718,231536,2299190
060718,231636,2299446
060718,231736,2299702
060718,231836,2299958
060718,231937,2300215
060718,232037,2302007
060718,232137,2302263
060718,232237,2302519
060718,232337,2302775
060718,232437,2303031
060718,232538,2303288
060718,232638,2303544
060718,232738,2303800
060718,232838,2304056
060718,232938,2304312
060718,233038,2306104
060718,233139,2306361
060718,233239,2306617
060718,233339,2306873
060718,233439,2307129
060718,233539,2307385
060718,233640,2307648
060718,233740,2307904
060718,233840,2308160
060718,233940,2308416
060718,234040,2310208
060718,234140,2310464
060718,234241,2310721
060718,234341,2310977
060718,234441,2311233
060718,234541,2311489
060718,234641,2311745
060718,234741,2312001
060718,234842,2312258
060718,234942,2312514
060718,235042,2314306
060718,235142,2314562
060718,235242,2314818
060718,235342,2315074
060718,235443,2315331
060718,235543,2315587
060718,235643,2315843
060718,235743,2316099
060718,235843,2316355
060718,235944,2316612
070718,000044,68
070718,000144,324
070718,000244,580
070718,000344,836
070718,000444,1092
070718,000545,1349
070718,000645,1605
070718,000745,1861
070718,000845,2117
070718,000945,2373
070718,001045,4165
070718,001146,4422
070718,001246,4678
070718,001346,4934
070718,001446,5190
070718,001546,5446
070718,001646,5702
070718,001747,5959
070718,001847,6215
070718,001947,6471
070718,002047,8263
070718,002147,8519
070718,002248,8776
070718,002348,9032
070718,002448,9288
070718,002548,9544
070718,002648,9800
070718,002748,10056
070718,002849,10313
070718,002949,10569
070718,003049,12361
070718,003149,12617
070718,003249,12873
070718,003349,13129
070718,003450,13392
070718,003550,13648
070718,003650,13904
070718,003750,14160
070718,003850,14416
070718,003950,14672
070718,004051,16465
070718,004151,16721
070718,004251,16977
070718,004351,17233
070718,004451,17489
070718,004552,17746
070718,004652,18002
070718,004752,18258
070718,004852,18514
070718,004952,18770
070718,005052,20562
070718,005153,20819
070718,005253,21075
070718,005353,21331
070718,005453,21587
070718,005553,21843
070718,005653,22099
070718,005754,22356
070718,005854,22612
070718,005954,22868
070718,010054,65620
070718,010154,65876
070718,010254,66132
070718,010355,66389
070718,010455,66645
070718,010555,66901
070718,010655,67157
070718,010755,67413
070718,010856,67670
070718,010956,67926
070718,011056,69718
070718,011156,69974
070718,011256,70230
070718,011356,70486
070718,011457,70743
070718,011557,70999
070718,011657,71255
070718,011757,71511
070718,011857,71767
070718,011957,72023
070718,012058,73816
070718,012158,74072
070718,012258,74328
070718,012358,74584
070718,012458,74840
070718,012558,75096
070718,012659,75353
070718,012759,75609
070718,012859,75865
070718,012959,76121
070718,013059,77913
070718,013200,78336
070718,013300,78592
070718,013400,78848
070718,013500,79104
070718,013600,79360
070718,013700,79616
070718,013801,79873
070718,013901,80129
070718,014001,81921
070718,014101,82177
070718,014201,82433
070718,014301,82689
070718,014402,82946
070718,014502,83202
070718,014602,83458
070718,014702,83714
070718,014802,83970
070718,014902,84226
070718,015003,86019
070718,015103,86275
070718,015203,86531
070718,015303,86787
070718,015403,87043
070718,015504,87300
070718,015604,87556
070718,015704,87812
070718,015804,88068
070718,015904,88324
070718,020004,131076
070718,020105,131333
070718,020205,131589
070718,020305,131845
070718,020405,132101
070718,020505,132357
070718,020605,132613
070718,020706,132870
070718,020806,133126
070718,020906,133382
070718,021006,135174
070718,021106,135430
070718,021206,135686
070718,021307,135943
070718,021407,136199
070718,021507,136455
070718,021607,136711
070718,021707,136967
070718,021808,137224
070718,021908,137480
070718,022008,139272
070718,022108,139528
070718,022208,139784
070718,022308,140040
070718,022409,140297
070718,022509,140553
070718,022609,140809
070718,022709,141065
070718,022809,141321
070718,022909,141577
070718,023010,143376
070718,023110,143632
070718,023210,143888
070718,023310,144144
070718,023410,144400
070718,023510,144656
070718,023611,144913
070718,023711,145169
070718,023811,145425
070718,023911,145681
070718,024011,147473
070718,024112,147730
070718,024212,147986
070718,024312,148242
070718,024412,148498
070718,024512,148754
070718,024612,149010
070718,024713,149267
070718,024813,149523
070718,024913,149779
070718,025013,151571
070718,025113,151827
070718,025213,152083
070718,025314,152340
070718,025414,152596
070718,025514,152852
070718,025614,153108
070718,025714,153364
070718,025814,153620
070718,025915,153877
070718,030015,196629
070718,030115,196885
070718,030215,197141
070718,030315,197397
070718,030416,197654
070718,030516,197910
070718,030616,198166
070718,030716,198422
070718,030816,198678
070718,030916,198934
070718,031017,200727
070718,031117,200983
070718,031217,201239
070718,031317,201495
070718,031417,201751
070718,031517,202007
070718,031618,202264
070718,031718,202520
070718,031818,202776
070718,031918,203032
070718,032018,204824
070718,032118,205080
070718,032219,205337
070718,032319,205593
070718,032419,205849
070718,032519,206105
070718,032619,206361
070718,032720,206624
070718,032820,206880
070718,032920,207136
070718,033020,208928
070718,033120,209184
070718,033220,209440
070718,033321,209697
070718,033421,209953
070718,033521,210209
070718,033621,210465
070718,033721,210721
070718,033821,210977
070718,033922,211234
070718,034022,213026
070718,034122,213282
070718,034222,213538
070718,034322,213794
070718,034422,214050
070718,034523,214307
070718,034623,214563
070718,034723,214819
070718,034823,215075
070718,034923,215331
070718,035023,217123
070718,035124,217380
070718,035224,217636
070718,035324,217892
070718,035424,218148
070718,035524,218404
070718,035625,218661
070718,035725,218917
070718,035825,219173
070718,035925,219429
070718,040025,262181
070718,040125,262437
070718,040226,262694
070718,040326,262950
070718,040426,263206
070718,040526,263462
070718,040626,263718
070718,040726,263974
070718,040827,264231
070718,040927,264487
070718,041027,266279
070718,041127,266535
070718,041227,266791
070718,041327,267047
070718,041428,267304
070718,041528,267560
070718,041628,267816
070718,041728,268072
070718,041828,268328
070718,041929,268585
070718,042029,270377
070718,042129,270633
070718,042229,270889
070718,042329,271145
070718,042429,271401
070718,042530,271664
070718,042630,271920
070718,042730,272176
070718,042830,272432
070718,042930,272688
070718,043030,274480
070718,043131,274737
070718,043231,274993
070718,043331,275249
070718,043431,275505
070718,043531,275761
070718,043631,276017
070718,043732,276274
070718,043832,276530
070718,043932,276786
070718,044032,278578
070718,044132,278834
070718,044233,279091
070718,044333,279347
070718,044433,279603
070718,044533,279859
070718,044633,280115
070718,044733,280371
070718,044834,280628
070718,044934,280884
070718,045034,282676
070718,045134,282932
070718,045234,283188
070718,045334,283444
070718,045435,283701
070718,045535,283957
070718,045635,284213
070718,045735,284469
070718,045835,284725
070718,045935,284981
070718,050036,327734
070718,050136,327990
070718,050236,328246
070718,050336,328502
070718,050436,328758
070718,050537,329015
070718,050637,329271
070718,050737,329527
070718,050837,329783
070718,050937,330039
070718,051037,331831
070718,051138,332088
070718,051238,332344
070718,051338,332600
070718,051438,332856
070718,051538,333112
070718,051638,333368
070718,051739,333625
070718,051839,333881
070718,051939,334137
070718,052039,335929
070718,052139,336185
070718,052239,336441
070718,052340,336704
070718,052440,336960
070718,052540,337216
070718,052640,337472
070718,052740,337728
070718,052841,337985
070718,052941,338241
070718,053041,340033
070718,053141,340289
070718,053241,340545
070718,053341,340801
070718,053442,341058
070718,053542,341314
070718,053642,341570
070718,053742,341826
070718,053842,342082
070718,053942,342338
070718,054043,344131
070718,054143,344387
070718,054243,344643
070718,054343,344899
070718,054443,345155
070718,054543,345411
070718,054644,345668
070718,054744,345924
070718,054844,346180
070718,054944,346436
070718,055044,348228
070718,055145,348485
070718,055245,348741
070718,055345,348997
070718,055445,349253
070718,055545,349509
070718,055645,349765
070718,055746,350022
070718,055846,350278
070718,055946,350534
070718,060046,393286
070718,060146,393542
070718,060246,393798
070718,060347,394055
070718,060447,394311
070718,060547,394567
070718,060647,394823
070718,060747,395079
070718,060847,395335
070718,060948,395592
070718,061048,397384
070718,061148,397640
070718,061248,397896
070718,061348,398152
070718,061449,398409
070718,061549,398665
070718,061649,398921
070718,061749,399177
070718,061849,399433
070718,061949,399689
070718,062050,401488
070718,062150,401744
070718,062250,402000
070718,062350,402256
070718,062450,402512
070718,062550,402768
070718,062651,403025
070718,062751,403281
070718,062851,403537
070718,062951,403793
070718,063051,405585
070718,063151,405841
070718,063252,406098
070718,063352,406354
070718,063452,406610
070718,192505,1647877
070718,192606,1648134
070718,192706,1648390
070718,192806,1648646
070718,192906,1648902
070718,193006,1650694
070718,193107,1650951
070718,193207,1651207
070718,193307,1651463
070718,193407,1651719
070718,193507,1651975
070718,193607,1652231
070718,193708,1652488
070718,193808,1652744
070718,193908,1653000
070718,194008,1654792
070718,194108,1655048
070718,194208,1655304
070718,194309,1655561
070718,194409,1655817
070718,194509,1656073
070718,194609,1656329
070718,194709,1656585
070718,194809,1656841
070718,194910,1657104
070718,195010,1658896
070718,195110,1659152
070718,195210,1659408
070718,195310,1659664
070718,195410,1659920
070718,195511,1660177
070718,195611,1660433
070718,195711,1660689
070718,195811,1660945
070718,195911,1661201
070718,200012,2097170
070718,200112,2097426
070718,200212,2097682
070718,200312,2097938
070718,200412,2098194
070718,200512,2098450
070718,200613,2098707
070718,200713,2098963
070718,200813,2099219
070718,200913,2099475
070718,201013,2101267
070718,201113,2101523
070718,201214,2101780
070718,201314,2102036
070718,201414,2102292
070718,201514,2102548
070718,201614,2102804
070718,201715,2103061
070718,201815,2103317
070718,201915,2103573
070718,202015,2105365
070718,202115,2105621
070718,202215,2105877
070718,202316,2106134
070718,202416,2106390
070718,202516,2106646
070718,202616,2106902
070718,202716,2107158
070718,202816,2107414
070718,202917,2107671
070718,203017,2109463
070718,203117,2109719
070718,203217,2109975
070718,203317,2110231
070718,203417,2110487
070718,203518,2110744
070718,203618,2111000
070718,203718,2111256
070718,203818,2111512
070718,203918,2111768
070718,204019,2113561
070718,204119,2113817
070718,204219,2114073
070718,204319,2114329
070718,204419,2114585
070718,204519,2114841
070718,204620,2115104
070718,204720,2115360
070718,204820,2115616
070718,204920,2115872
070718,205020,2117664
070718,205120,2117920
070718,205221,2118177
070718,205321,2118433
070718,205421,2118689
070718,205521,2118945
070718,205621,2119201
